Time t / s,Events N,Channel n,Energy E / keV
,1,337,16.0002790697674
,1,338,16.0516976744186
,2,339,16.1031162790698
,1,340,16.1545348837209
,2,341,16.2059534883721
,2,342,16.2573720930233
,1,343,16.3087906976744
,1,344,16.3602093023256
,1,345,16.4116279069767
,1,346,16.4630465116279
,2,347,16.5144651162791
,0,348,16.5658837209302
,1,349,16.6173023255814
,0,350,16.6687209302326
,0,351,16.7201395348837
,2,352,16.7715581395349
,0,353,16.822976744186
,1,354,16.8743953488372
,1,355,16.9258139534884
,1,356,16.9772325581395
,0,357,17.0286511627907
,0,358,17.0800697674419
,0,359,17.131488372093
,0,360,17.1829069767442
,1,361,17.2343255813953
,0,362,17.2857441860465
,0,363,17.3371627906977
,1,364,17.3885813953488
,0,365,17.44
,0,366,17.4914186046512
,0,367,17.5428372093023
,0,368,17.5942558139535
,0,369,17.6456744186047
,0,370,17.6970930232558
,1,371,17.748511627907
,1,372,17.7999302325581
,0,373,17.8513488372093
,0,374,17.9027674418605
,0,375,17.9541860465116
,0,376,18.0056046511628
,0,377,18.057023255814
,0,378,18.1084418604651
,0,379,18.1598604651163
,0,380,18.2112790697674
,1,381,18.2626976744186
,0,382,18.3141162790698
,2,383,18.3655348837209
,0,384,18.4169534883721
,1,385,18.4683720930233
,1,386,18.5197906976744
,0,387,18.5712093023256
,0,388,18.6226279069767
,0,389,18.6740465116279
,1,390,18.7254651162791
,0,391,18.7768837209302
,0,392,18.8283023255814
,1,393,18.8797209302326
,0,394,18.9311395348837
,1,395,18.9825581395349
,0,396,19.033976744186
,2,397,19.0853953488372
,0,398,19.1368139534884
,2,399,19.1882325581395
,1,400,19.2396511627907
,0,401,19.2910697674419
,1,402,19.342488372093
,1,403,19.3939069767442
,1,404,19.4453255813953
,1,405,19.4967441860465
,0,406,19.5481627906977
,0,407,19.5995813953488
,2,408,19.651
,0,409,19.7024186046512
,4,410,19.7538372093023
,1,411,19.8052558139535
,0,412,19.8566744186047
,0,413,19.9080930232558
,0,414,19.959511627907
,2,415,20.0109302325581
,0,416,20.0623488372093
,0,417,20.1137674418605
,0,418,20.1651860465116
,1,419,20.2166046511628
,2,420,20.268023255814
,0,421,20.3194418604651
,0,422,20.3708604651163
,1,423,20.4222790697674
,0,424,20.4736976744186
,0,425,20.5251162790698
